ticket_id,client_id,type,severity,state,date_created
TKT-00001,C0019,onboarding,critical,closed,2024-11-06
TKT-00002,C0015,technical,critical,in_progress,2024-12-11
TKT-00003,C0022,onboarding,high,open,2024-02-13
TKT-00004,C0025,onboarding,medium,in_progress,2024-04-30
TKT-00005,C0005,billing,medium,closed,2024-01-13
TKT-00006,C0020,feature_request,critical,in_progress,2024-02-07
TKT-00007,C0023,feature_request,critical,closed,2024-12-22
TKT-00008,C0008,billing,low,closed,2024-03-16
TKT-00009,C0008,bug_report,critical,open,2024-03-31
TKT-00010,C0018,billing,critical,in_progress,2024-05-07
TKT-00011,C0015,bug_report,high,closed,2024-12-07
TKT-00012,C0020,feature_request,critical,in_progress,2024-09-15
TKT-00013,C0024,feature_request,high,in_progress,2024-08-31
TKT-00014,C0021,bug_report,critical,in_progress,2024-05-21
TKT-00015,C0009,billing,high,in_progress,2024-08-13
TKT-00016,C0009,onboarding,low,in_progress,2024-06-20
TKT-00017,C0005,feature_request,medium,in_progress,2024-04-28
TKT-00018,C0003,feature_request,high,closed,2024-07-31
TKT-00019,C0014,technical,critical,closed,2024-02-01
TKT-00020,C0025,billing,critical,closed,2024-10-26
TKT-00021,C0001,onboarding,critical,closed,2024-06-29
TKT-00022,C0018,bug_report,medium,closed,2024-10-06
TKT-00023,C0008,feature_request,critical,open,2024-05-19
TKT-00024,C0013,feature_request,medium,closed,2024-06-21
TKT-00025,C0005,bug_report,low,closed,2024-11-14
TKT-00026,C0019,billing,low,closed,2024-10-15
TKT-00027,C0005,technical,low,resolved,2024-08-24
TKT-00028,C0013,technical,critical,resolved,2024-06-16
TKT-00029,C0011,onboarding,critical,resolved,2024-07-13
TKT-00030,C0003,billing,low,resolved,2024-08-28
TKT-00031,C0008,billing,low,open,2024-11-28
TKT-00032,C0008,billing,medium,in_progress,2024-04-12
TKT-00033,C0005,billing,medium,closed,2024-08-30
TKT-00034,C0023,onboarding,medium,open,2024-05-11
TKT-00035,C0025,onboarding,low,open,2024-03-24
TKT-00036,C0010,feature_request,critical,in_progress,2024-10-21
TKT-00037,C0003,technical,low,resolved,2024-10-30
TKT-00038,C0022,billing,low,resolved,2024-11-03
TKT-00039,C0018,onboarding,low,resolved,2024-08-07
TKT-00040,C0001,feature_request,low,closed,2024-08-03
